Gene	Rule
g1	not ( g18 )
g2	g1
g3	g2
e4	( g3 )
f4	( e4 )
g4	( f4 or g4 ) and ( not g5 )
e5	( g3 )
f5	( e5 )
g5	( f5 or g5 ) and ( not g4 )
e6	( g4 )
f6	( e6 )
g6	( f6 or g6 ) and ( not g7 )
e7	( g4 )
f7	( e7 )
g7	( f7 or g7 ) and ( not g6 )
e8	( g5 )
f8	( e8 )
g8	( f8 or g8 ) and ( not g9 )
e9	( g5 )
f9	( e9 )
g9	( f9 or g9 ) and ( not g8 )
e10	( g6 )
f10	( e10 )
g10	( f10 or g10 ) and ( not g11 )
e11	( g6 )
f11	( e11 )
g11	( f11 or g11 ) and ( not g10 )
e12	( g7 )
f12	( e12 )
g12	( f12 or g12 ) and ( not g13 )
e13	( g7 )
f13	( e13 )
g13	( f13 or g13 ) and ( not g12 )
e14	( g8 )
f14	( e14 )
g14	( f14 or g14 ) and ( not g15 )
e15	( g8 )
f15	( e15 )
g15	( f15 or g15 ) and ( not g14 )
e16	( g9 )
f16	( e16 )
g16	( f16 or g16 ) and ( not g17 )
e17	( g9 )
f17	( e17 )
g17	( f17 or g17 ) and ( not g16 )
e18	( g10 )
f18	( e18 )
g18	( f18 or g18 ) and ( not g19 )
e19	( g10 )
f19	( e19 )
g19	( f19 or g19 ) and ( not g18 )
e20	( g11 )
f20	( e20 )
g20	( f20 or g20 ) and ( not g21 )
e21	( g11 )
f21	( e21 )
g21	( f21 or g21 ) and ( not g20 )
e22	( g12 )
f22	( e22 )
g22	( f22 or g22 ) and ( not g23 )
e23	( g12 )
f23	( e23 )
g23	( f23 or g23 ) and ( not g22 )
e24	( g13 )
f24	( e24 )
g24	( f24 or g24 ) and ( not g25 )
e25	( g13 )
f25	( e25 )
g25	( f25 or g25 ) and ( not g24 )
e26	( g14 )
f26	( e26 )
g26	( f26 or g26 ) and ( not g27 )
e27	( g14 )
f27	( e27 )
g27	( f27 or g27 ) and ( not g26 )
e28	( g15 )
f28	( e28 )
g28	( f28 or g28 ) and ( not g29 )
e29	( g15 )
f29	( e29 )
g29	( f29 or g29 ) and ( not g28 )
e30	( g16 )
f30	( e30 )
g30	( f30 or g30 ) and ( not g31 )
e31	( g16 )
f31	( e31 )
g31	( f31 or g31 ) and ( not g30 )
e32	( g17 )
f32	( e32 )
g32	( f32 or g32 ) and ( not g33 )
e33	( g17 )
f33	( e33 )
g33	( f33 or g33 ) and ( not g32 )
