Gene	Rule
g1	not ( g66 )
g2	g1
g3	g2
e4	( g3 )
f4	( e4 )
g4	( f4 or g4 ) and ( not g5 )
e5	( g3 )
f5	( e5 )
g5	( f5 or g5 ) and ( not g4 )
e6	( g4 )
f6	( e6 )
g6	( f6 or g6 ) and ( not g7 )
e7	( g4 )
f7	( e7 )
g7	( f7 or g7 ) and ( not g6 )
e8	( g5 )
f8	( e8 )
g8	( f8 or g8 ) and ( not g9 )
e9	( g5 )
f9	( e9 )
g9	( f9 or g9 ) and ( not g8 )
e10	( g6 )
f10	( e10 )
g10	( f10 or g10 ) and ( not g11 )
e11	( g6 )
f11	( e11 )
g11	( f11 or g11 ) and ( not g10 )
e12	( g7 )
f12	( e12 )
g12	( f12 or g12 ) and ( not g13 )
e13	( g7 )
f13	( e13 )
g13	( f13 or g13 ) and ( not g12 )
e14	( g8 )
f14	( e14 )
g14	( f14 or g14 ) and ( not g15 )
e15	( g8 )
f15	( e15 )
g15	( f15 or g15 ) and ( not g14 )
e16	( g9 )
f16	( e16 )
g16	( f16 or g16 ) and ( not g17 )
e17	( g9 )
f17	( e17 )
g17	( f17 or g17 ) and ( not g16 )
e18	( g10 )
f18	( e18 )
g18	( f18 or g18 ) and ( not g19 )
e19	( g10 )
f19	( e19 )
g19	( f19 or g19 ) and ( not g18 )
e20	( g11 )
f20	( e20 )
g20	( f20 or g20 ) and ( not g21 )
e21	( g11 )
f21	( e21 )
g21	( f21 or g21 ) and ( not g20 )
e22	( g12 )
f22	( e22 )
g22	( f22 or g22 ) and ( not g23 )
e23	( g12 )
f23	( e23 )
g23	( f23 or g23 ) and ( not g22 )
e24	( g13 )
f24	( e24 )
g24	( f24 or g24 ) and ( not g25 )
e25	( g13 )
f25	( e25 )
g25	( f25 or g25 ) and ( not g24 )
e26	( g14 )
f26	( e26 )
g26	( f26 or g26 ) and ( not g27 )
e27	( g14 )
f27	( e27 )
g27	( f27 or g27 ) and ( not g26 )
e28	( g15 )
f28	( e28 )
g28	( f28 or g28 ) and ( not g29 )
e29	( g15 )
f29	( e29 )
g29	( f29 or g29 ) and ( not g28 )
e30	( g16 )
f30	( e30 )
g30	( f30 or g30 ) and ( not g31 )
e31	( g16 )
f31	( e31 )
g31	( f31 or g31 ) and ( not g30 )
e32	( g17 )
f32	( e32 )
g32	( f32 or g32 ) and ( not g33 )
e33	( g17 )
f33	( e33 )
g33	( f33 or g33 ) and ( not g32 )
e34	( g18 )
f34	( e34 )
g34	( f34 or g34 ) and ( not g35 )
e35	( g18 )
f35	( e35 )
g35	( f35 or g35 ) and ( not g34 )
e36	( g19 )
f36	( e36 )
g36	( f36 or g36 ) and ( not g37 )
e37	( g19 )
f37	( e37 )
g37	( f37 or g37 ) and ( not g36 )
e38	( g20 )
f38	( e38 )
g38	( f38 or g38 ) and ( not g39 )
e39	( g20 )
f39	( e39 )
g39	( f39 or g39 ) and ( not g38 )
e40	( g21 )
f40	( e40 )
g40	( f40 or g40 ) and ( not g41 )
e41	( g21 )
f41	( e41 )
g41	( f41 or g41 ) and ( not g40 )
e42	( g22 )
f42	( e42 )
g42	( f42 or g42 ) and ( not g43 )
e43	( g22 )
f43	( e43 )
g43	( f43 or g43 ) and ( not g42 )
e44	( g23 )
f44	( e44 )
g44	( f44 or g44 ) and ( not g45 )
e45	( g23 )
f45	( e45 )
g45	( f45 or g45 ) and ( not g44 )
e46	( g24 )
f46	( e46 )
g46	( f46 or g46 ) and ( not g47 )
e47	( g24 )
f47	( e47 )
g47	( f47 or g47 ) and ( not g46 )
e48	( g25 )
f48	( e48 )
g48	( f48 or g48 ) and ( not g49 )
e49	( g25 )
f49	( e49 )
g49	( f49 or g49 ) and ( not g48 )
e50	( g26 )
f50	( e50 )
g50	( f50 or g50 ) and ( not g51 )
e51	( g26 )
f51	( e51 )
g51	( f51 or g51 ) and ( not g50 )
e52	( g27 )
f52	( e52 )
g52	( f52 or g52 ) and ( not g53 )
e53	( g27 )
f53	( e53 )
g53	( f53 or g53 ) and ( not g52 )
e54	( g28 )
f54	( e54 )
g54	( f54 or g54 ) and ( not g55 )
e55	( g28 )
f55	( e55 )
g55	( f55 or g55 ) and ( not g54 )
e56	( g29 )
f56	( e56 )
g56	( f56 or g56 ) and ( not g57 )
e57	( g29 )
f57	( e57 )
g57	( f57 or g57 ) and ( not g56 )
e58	( g30 )
f58	( e58 )
g58	( f58 or g58 ) and ( not g59 )
e59	( g30 )
f59	( e59 )
g59	( f59 or g59 ) and ( not g58 )
e60	( g31 )
f60	( e60 )
g60	( f60 or g60 ) and ( not g61 )
e61	( g31 )
f61	( e61 )
g61	( f61 or g61 ) and ( not g60 )
e62	( g32 )
f62	( e62 )
g62	( f62 or g62 ) and ( not g63 )
e63	( g32 )
f63	( e63 )
g63	( f63 or g63 ) and ( not g62 )
e64	( g33 )
f64	( e64 )
g64	( f64 or g64 ) and ( not g65 )
e65	( g33 )
f65	( e65 )
g65	( f65 or g65 ) and ( not g64 )
e66	( g34 )
f66	( e66 )
g66	( f66 or g66 ) and ( not g67 )
e67	( g34 )
f67	( e67 )
g67	( f67 or g67 ) and ( not g66 )
e68	( g35 )
f68	( e68 )
g68	( f68 or g68 ) and ( not g69 )
e69	( g35 )
f69	( e69 )
g69	( f69 or g69 ) and ( not g68 )
e70	( g36 )
f70	( e70 )
g70	( f70 or g70 ) and ( not g71 )
e71	( g36 )
f71	( e71 )
g71	( f71 or g71 ) and ( not g70 )
e72	( g37 )
f72	( e72 )
g72	( f72 or g72 ) and ( not g73 )
e73	( g37 )
f73	( e73 )
g73	( f73 or g73 ) and ( not g72 )
e74	( g38 )
f74	( e74 )
g74	( f74 or g74 ) and ( not g75 )
e75	( g38 )
f75	( e75 )
g75	( f75 or g75 ) and ( not g74 )
e76	( g39 )
f76	( e76 )
g76	( f76 or g76 ) and ( not g77 )
e77	( g39 )
f77	( e77 )
g77	( f77 or g77 ) and ( not g76 )
e78	( g40 )
f78	( e78 )
g78	( f78 or g78 ) and ( not g79 )
e79	( g40 )
f79	( e79 )
g79	( f79 or g79 ) and ( not g78 )
e80	( g41 )
f80	( e80 )
g80	( f80 or g80 ) and ( not g81 )
e81	( g41 )
f81	( e81 )
g81	( f81 or g81 ) and ( not g80 )
e82	( g42 )
f82	( e82 )
g82	( f82 or g82 ) and ( not g83 )
e83	( g42 )
f83	( e83 )
g83	( f83 or g83 ) and ( not g82 )
e84	( g43 )
f84	( e84 )
g84	( f84 or g84 ) and ( not g85 )
e85	( g43 )
f85	( e85 )
g85	( f85 or g85 ) and ( not g84 )
e86	( g44 )
f86	( e86 )
g86	( f86 or g86 ) and ( not g87 )
e87	( g44 )
f87	( e87 )
g87	( f87 or g87 ) and ( not g86 )
e88	( g45 )
f88	( e88 )
g88	( f88 or g88 ) and ( not g89 )
e89	( g45 )
f89	( e89 )
g89	( f89 or g89 ) and ( not g88 )
e90	( g46 )
f90	( e90 )
g90	( f90 or g90 ) and ( not g91 )
e91	( g46 )
f91	( e91 )
g91	( f91 or g91 ) and ( not g90 )
e92	( g47 )
f92	( e92 )
g92	( f92 or g92 ) and ( not g93 )
e93	( g47 )
f93	( e93 )
g93	( f93 or g93 ) and ( not g92 )
e94	( g48 )
f94	( e94 )
g94	( f94 or g94 ) and ( not g95 )
e95	( g48 )
f95	( e95 )
g95	( f95 or g95 ) and ( not g94 )
e96	( g49 )
f96	( e96 )
g96	( f96 or g96 ) and ( not g97 )
e97	( g49 )
f97	( e97 )
g97	( f97 or g97 ) and ( not g96 )
e98	( g50 )
f98	( e98 )
g98	( f98 or g98 ) and ( not g99 )
e99	( g50 )
f99	( e99 )
g99	( f99 or g99 ) and ( not g98 )
e100	( g51 )
f100	( e100 )
g100	( f100 or g100 ) and ( not g101 )
e101	( g51 )
f101	( e101 )
g101	( f101 or g101 ) and ( not g100 )
e102	( g52 )
f102	( e102 )
g102	( f102 or g102 ) and ( not g103 )
e103	( g52 )
f103	( e103 )
g103	( f103 or g103 ) and ( not g102 )
e104	( g53 )
f104	( e104 )
g104	( f104 or g104 ) and ( not g105 )
e105	( g53 )
f105	( e105 )
g105	( f105 or g105 ) and ( not g104 )
e106	( g54 )
f106	( e106 )
g106	( f106 or g106 ) and ( not g107 )
e107	( g54 )
f107	( e107 )
g107	( f107 or g107 ) and ( not g106 )
e108	( g55 )
f108	( e108 )
g108	( f108 or g108 ) and ( not g109 )
e109	( g55 )
f109	( e109 )
g109	( f109 or g109 ) and ( not g108 )
e110	( g56 )
f110	( e110 )
g110	( f110 or g110 ) and ( not g111 )
e111	( g56 )
f111	( e111 )
g111	( f111 or g111 ) and ( not g110 )
e112	( g57 )
f112	( e112 )
g112	( f112 or g112 ) and ( not g113 )
e113	( g57 )
f113	( e113 )
g113	( f113 or g113 ) and ( not g112 )
e114	( g58 )
f114	( e114 )
g114	( f114 or g114 ) and ( not g115 )
e115	( g58 )
f115	( e115 )
g115	( f115 or g115 ) and ( not g114 )
e116	( g59 )
f116	( e116 )
g116	( f116 or g116 ) and ( not g117 )
e117	( g59 )
f117	( e117 )
g117	( f117 or g117 ) and ( not g116 )
e118	( g60 )
f118	( e118 )
g118	( f118 or g118 ) and ( not g119 )
e119	( g60 )
f119	( e119 )
g119	( f119 or g119 ) and ( not g118 )
e120	( g61 )
f120	( e120 )
g120	( f120 or g120 ) and ( not g121 )
e121	( g61 )
f121	( e121 )
g121	( f121 or g121 ) and ( not g120 )
e122	( g62 )
f122	( e122 )
g122	( f122 or g122 ) and ( not g123 )
e123	( g62 )
f123	( e123 )
g123	( f123 or g123 ) and ( not g122 )
e124	( g63 )
f124	( e124 )
g124	( f124 or g124 ) and ( not g125 )
e125	( g63 )
f125	( e125 )
g125	( f125 or g125 ) and ( not g124 )
e126	( g64 )
f126	( e126 )
g126	( f126 or g126 ) and ( not g127 )
e127	( g64 )
f127	( e127 )
g127	( f127 or g127 ) and ( not g126 )
e128	( g65 )
f128	( e128 )
g128	( f128 or g128 ) and ( not g129 )
e129	( g65 )
f129	( e129 )
g129	( f129 or g129 ) and ( not g128 )
